time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
1761,-42.59667742999999,60.77,7,114688,65,0.094879150390625,0.0003,0.2,3.458263635635376,-0.002876043949072482,-0.7309929554583505,0.954316720366478,0.009625576,31.451875603245572,1110
3718,-40.32300762,62.45,1,16384,4,0.115673828125,0.0003,0.2,3.298253297805786,-0.002715100667228398,-0.7276027377462014,0.9757253490388393,0.008480303,17.111937463469804,1120
2163,-41.57887237,61.64,2,32768,15,0.08992919921875,0.0003,0.2,5.791764259338379,-0.002400715742896864,-0.710123112378642,0.9866288537159562,0.0074464316,9.366519090300425,1130
1881,-39.53472021,62.81,3,49152,26,0.07967529296875,0.0003,0.2,69.58032989501953,-0.0017153530438008603,-0.7003022399032488,0.9612785167992115,0.007571982,28.65363742867485,1140
1732,-42.197514649999995,61.09,4,65536,37,0.092889404296875,0.0003,0.2,2.682406187057495,-0.0018488044423520477,-0.6855384772177786,0.9788934197276831,0.007014214,16.026069679670037,1150
1641,-39.909249169999995,62.71,5,81920,49,0.084307861328125,0.0003,0.2,6.639727592468262,-0.0019935843985422253,-0.6925199520075693,0.9495228044688702,0.007818572,37.44277205234393,1160
1620,-42.03156131,61.52,6,98304,60,0.10079345703125,0.0003,0.2,4.670327663421631,-0.0018621104169142199,-0.684354075579904,0.9762887265533209,0.0073350286,17.260292660305275,1170
1602,-39.91052166,62.99,7,114688,71,0.09588623046875,0.0003,0.2,2.9884872436523438,-0.002657659810029145,-0.6668844774365426,0.9549293965101242,0.009237507,33.108749157376586,1180
3492,-42.72965204,60.88,1,16384,4,0.101605224609375,0.0003,0.2,19.43524169921875,-0.0034170399241702397,-0.6703877849504352,0.9570312350988388,0.008101199,31.913436085823925,1190
1924,-40.66541652,62.7,2,32768,17,0.0916259765625,0.0003,0.2,11.240345001220703,-0.002918245565797406,-0.6793751231394708,0.954448651522398,0.0073414603,33.43352165967226,1200
293,-43.68399915,61.34,3,49152,167,0.09344482421875,0.0003,0.2,1.9347492456436157,-0.0023617524488145137,-0.6787615206558257,0.963531032204628,0.00842157,26.653685243148356,1210
147,-40.545083319999996,63.49,4,65536,443,0.099267578125,0.0003,0.2,35.353084564208984,-0.0016268598438728076,-0.6742781401844695,0.9663773737847805,0.007703197,24.923499760823326,1220
116,-42.78662035,61.95,5,81920,700,0.090447998046875,0.0003,0.2,2.2804787158966064,-0.0008927040194976144,-0.6777568195248023,0.9855048106983304,0.0081191305,10.898394396109506,1230
137,-41.004068880000005,63.17,6,98304,712,0.09324951171875,0.0003,0.2,4.968082904815674,-0.002464494868127076,-0.682482493086718,0.9777653440833092,0.008245333,17.092923030816017,1240
158,-41.57050336,63.24,7,114688,724,0.09967041015625,0.0003,0.2,8.897357940673828,-0.0018832332736110403,-0.6611464576097206,0.977479562163353,0.008599915,16.977133879996835,1250
227,-38.71005207,64.9,1,16384,71,0.086651611328125,0.0003,0.2,2.8734805583953857,-0.0017285986583374323,-0.6519355229800567,0.9821523874998093,0.0072148833,13.568736622529105,1260
139,-39.03418712,64.61,2,32768,234,0.096417236328125,0.0003,0.2,2.9906606674194336,-0.0018280971319200034,-0.6444290370447561,0.9838381689041853,0.007718877,12.366551548149436,1270
199,-39.46828523,63.85,3,49152,245,0.088909912109375,0.0003,0.2,1.4842050075531006,-0.0019076927292189794,-0.6269363859319128,0.9790501892566681,0.0073242183,15.95438101105392,1280
190,-40.433566250000005,63.72,4,65536,344,0.081427001953125,0.0003,0.2,4.741456031799316,-0.0014926743950582021,-0.6269882776308805,0.9712513200938702,0.0066978405,21.93684268146753,1290
203,-39.966823119999994,63.85,5,81920,402,0.086444091796875,0.0003,0.2,32.21919250488281,-0.002227474394658202,-0.6268851577187888,0.9577279724180698,0.0072546587,31.948572172876446,1300
238,-39.58937493,63.81,6,98304,412,0.094439697265625,0.0003,0.2,3.3004329204559326,-0.0007562516824691556,-0.6196214732713997,0.978771761059761,0.0062809126,16.555759870633484,1310
170,-39.38141733999999,63.66,7,114688,672,0.085650634765625,0.0003,0.2,5.950159549713135,-0.0017886646659462714,-0.6172518583247438,0.9764873757958412,0.007532852,17.65058105373755,1320
2803,-40.03064586000001,63.53,1,16384,5,0.084381103515625,0.0003,0.2,32.31039047241211,-0.0009931814386618498,-0.6202228332869708,0.9828285928815603,0.0069871293,13.21386276879348,1330
1940,-40.15160185,63.46,2,32768,16,0.08785400390625,0.0003,0.2,3.2488999366760254,-0.0016783888993813889,-0.619019545277115,0.9798289965838194,0.0071778046,15.852447143988684,1340
